Name,xPosition,yPosition
Hillingdon,90,290
Harrow,160,200
Ealing,180,320
Brent,230,260
Hounslow,140,390
Barnet,280,180
Richmond upon Thames,180,450
Enfield,390,120
Haringey,370,210
Kingston upon Thames,225,510
Hackney,415,270
Islington,372,270
Camden,322,270
Westminster,322,325
Kensington and Chelsea,302,340
Hammersmith and Fulham,272,350
Wandsworth,302,425
Merton,303,495
Sutton,316,563
Lambeth,367,425
Southwark,405,395
Croydon,402,555
City of London,404,325
Bromley,522,548
Lewisham,457,438
Waltham Forest,452,225
Redbridge,542,225
Newham,492,300
Tower Hamlets,433,315
Greenwich,517,400
Bexley,587,427
Havering,690,250
Barking and Dagenham,600,295
